Date,Open,High,Low,Close,Adj Close,Volume
2018-03-01,44.634998,44.945000,43.165001,43.750000,41.430168,195208000
2018-03-02,43.200001,44.075001,43.112499,44.052502,41.716621,153816000
2018-03-05,43.802502,44.435001,43.630001,44.205002,41.861031,113605600
2018-03-06,44.477501,44.562500,44.032501,44.167500,41.825520,95154000
2018-03-07,43.735001,43.962502,43.567501,43.757500,41.437260,126814000
2018-03-08,43.869999,44.279999,43.767502,44.235001,41.889442,95096400
2018-03-09,44.490002,45.000000,44.347500,44.994999,42.609142,128740800
2018-03-12,45.072498,45.597500,45.052502,45.430000,43.021084,128828400
2018-03-13,45.647499,45.875000,44.810001,44.992500,42.606781,126774000
2018-03-14,45.080002,45.130001,44.452499,44.610001,42.244564,117473600
2018-03-15,44.625000,45.060001,44.517502,44.662498,42.294273,90975200
2018-03-16,44.662498,44.779999,44.404999,44.505001,42.145134,157618800
2018-03-19,44.330002,44.367500,43.415001,43.825001,41.501186,133787200
2018-03-20,43.810001,44.200001,43.735001,43.810001,41.486980,78597600
2018-03-21,43.759998,43.772499,42.814999,42.817501,40.547108,148219600
2018-03-22,42.500000,43.169998,42.150002,42.212502,39.974190,165963200
2018-03-23,42.097500,42.480000,41.235001,41.235001,39.048519,164115200
2018-03-26,42.017502,43.275002,41.610001,43.192501,40.902218,150164800
2018-03-27,43.419998,43.787498,41.730000,42.084999,39.853443,163690400
2018-03-28,41.812500,42.505001,41.297501,41.619999,39.413109,166674000
2018-03-29,41.952499,42.937500,41.724998,41.945000,39.720867,153594000
2018-04-02,41.660000,42.235001,41.117500,41.669998,39.460449,150347200
2018-04-03,41.910000,42.187500,41.220001,42.097500,39.865284,121112000
2018-04-04,41.220001,43.002499,41.192501,42.902500,40.627605,138422000
2018-04-05,43.145000,43.557499,43.020000,43.200001,40.909321,107732800
2018-04-06,42.742500,43.119999,42.049999,42.095001,39.862923,140021200
2018-04-09,42.470001,43.272499,42.462502,42.512501,40.258274,116070800
2018-04-10,43.250000,43.500000,42.882500,43.312500,41.015854,113634400
2018-04-11,43.057499,43.480000,42.924999,43.110001,40.824104,89726400
2018-04-12,43.352501,43.750000,43.259998,43.535000,41.226566,91557200
2018-04-13,43.695000,43.959999,43.462502,43.682499,41.366238,100497200
2018-04-16,43.757500,44.047501,43.707500,43.955002,41.624294,86313600
2018-04-17,44.122501,44.735001,44.102501,44.560001,42.197216,106421600
2018-04-18,44.452499,44.705002,44.220001,44.459999,42.102512,83018000
2018-04-19,43.439999,43.847500,43.165001,43.200001,40.909321,139235200
2018-04-20,42.650002,42.805000,41.357498,41.430000,39.233170,261964400
